data,cdi_dia_pct,fator,cdi_acumulado
2012-07-23,0.029956,1.00029956,1.1729695930620594
2012-07-24,0.029883,1.00029883,1.173320111565554
2012-07-25,0.029956,1.00029956,1.1736715913381746
2012-07-26,0.029846,1.00029846,1.1740218853613253
2012-07-27,0.029772,1.00029772,1.1743714151570352
2012-07-30,0.029919,1.00029919,1.174722775340736
2012-07-31,0.029919,1.00029919,1.1750742406478902
2012-08-01,0.029919,1.00029919,1.1754258111099496
2012-08-02,0.029883,1.00029883,1.1757770636050835
2012-08-03,0.029919,1.00029919,1.1761288443447435
2012-08-06,0.029883,1.00029883,1.176480306927299
2012-08-07,0.029883,1.00029883,1.1768318745374182
2012-08-08,0.029883,1.00029883,1.1771835472064862
2012-08-09,0.029883,1.00029883,1.177535324965898
2012-08-10,0.029883,1.00029883,1.1778872078470575
2012-08-13,0.029809,1.00029809,1.1782383242448446
2012-08-14,0.029919,1.00029919,1.1785908413690755
2012-08-15,0.029919,1.00029919,1.1789434639629048
2012-08-16,0.029883,1.00029883,1.1792957676382407
2012-08-17,0.029956,1.00029956,1.1796490374783943
2012-08-20,0.029993,1.00029993,1.1800028496142052
2012-08-21,0.029883,1.00029883,1.1803554698657555
2012-08-22,0.029846,1.00029846,1.1807077587592916
2012-08-23,0.029846,1.00029846,1.1810601527969709
2012-08-24,0.029883,1.00029883,1.1814130890024312
2012-08-27,0.029919,1.00029919,1.1817665559845298
2012-08-28,0.029919,1.00029919,1.1821201287204148
2012-08-29,0.029883,1.00029883,1.1824733816784803
2012-08-30,0.028259,1.00028259,1.1828075368314088
2012-08-31,0.028259,1.00028259,1.183141786413242
2012-09-03,0.02837,1.0002837,1.1834774437380475
2012-09-04,0.028296,1.00028296,1.1838123205155278
2012-09-05,0.028296,1.00028296,1.184147292049741
2012-09-06,0.028296,1.00028296,1.1844823583674993
2012-09-10,0.028259,1.00028259,1.1848170812371503
2012-09-11,0.028222,1.00028222,1.1851514603138171
2012-09-12,0.028186,1.00028186,1.1854855071044212
2012-09-13,0.028186,1.00028186,1.1858196480494538
2012-09-14,0.028149,1.00028149,1.1861534444221835
2012-09-17,0.028112,1.00028112,1.1864868958784793
2012-09-18,0.028075,1.00028075,1.1868200020744972
2012-09-19,0.028075,1.00028075,1.1871532017900797
2012-09-20,0.028149,1.00028149,1.1874873735448517
