codigo,empresa,tipo,participacao,qtd_teorica,indice
BMOB3,BEMOBI TECH,ON      NM,0.574,79319310.0,SMLL
BLAU3,BLAU,ON      NM,0.104,38584960.0,SMLL
SOJA3,BOA SAFRA,ON      NM,0.097,58542883.0,SMLL
BRBI11,BR PARTNERS,UNT     N2,0.206,47238057.0,SMLL
BRAP4,BRADESPAR,PN      N1,1.669,250914708.0,SMLL
SAUD3,BRADSAUDE,ON      NM,1.102,251735971.0,SMLL
BRKM5,BRASKEM,PNA     N1,0.472,265709734.0,SMLL
BRAV3,BRAVA,ON      NM,2.04,346772300.0,SMLL
CAML3,CAMIL,ON      NM,0.136,96218424.0,SMLL
BHIA3,CASAS BAHIA,ON      NM,0.036,143421097.0,SMLL
CBAV3,CBA,ON      NM,0.687,204441277.0,SMLL
CEAB3,CEA MODAS,ON      NM,0.579,204964309.0,SMLL
COGN3,COGNA ON,ON  ATZ NM,1.286,1915914094.0,SMLL
CSMG3,COPASA,ON      NM,6.928,359581776.0,SMLL
CSAN3,COSAN,ON      NM,2.652,2242671999.0,SMLL
CURY3,CURY S/A,ON      NM,1.559,160988231.0,SMLL
CVCB3,CVC BRASIL,ON      NM,0.191,408009727.0,SMLL
CYRE3,CYRELA REALT,ON      NM,1.841,281609283.0,SMLL
DASA3,DASA,ON      NM,0.152,177124938.0,SMLL
DESK3,DESKTOP,ON      NM,0.196,34835856.0,SMLL
DXCO3,DEXCO,ON      NM,0.517,336842147.0,SMLL
PNVL3,DIMED,ON      NM,0.31,82405671.0,SMLL
DIRR3,DIRECIONAL,ON      NM,1.168,327091595.0,SMLL
ECOR3,ECORODOVIAS,ON      NM,0.72,328954615.0,SMLL
EVEN3,EVEN,ON      NM,0.264,185333384.0,SMLL
EZTC3,EZTEC,ON      NM,0.412,121216090.0,SMLL
FESA4,FERBASA,PN      N1,0.266,147407600.0,SMLL
FLRY3,FLEURY,ON      NM,2.347,447150822.0,SMLL
FRAS3,FRAS-LE,ON      N1,0.637,107111030.0,SMLL
GFSA3,GAFISA,ON      NM,0.015,193423606.0,SMLL
GOAU4,GERDAU MET,PN      N1,2.897,830837767.0,SMLL
GGPS3,GPS,ON      NM,1.112,314841214.0,SMLL
GRND3,GRENDENE,ON      NM,0.257,236867166.0,SMLL
GMAT3,GRUPO MATEUS,ON      NM,0.539,457961064.0,SMLL
SBFG3,GRUPO SBF,ON      NM,0.364,128452352.0,SMLL
HAPV3,HAPVIDA,ON      NM,0.913,271662290.0,SMLL
HBOR3,HELBOR,ON      NM,0.04,65595478.0,SMLL
HBSA3,HIDROVIAS,ON      NM,0.514,543551243.0,SMLL
HYPE3,HYPERA,ON      NM,2.084,321083946.0,SMLL
