ticker,grupo,n_obs,inicio,fim,liquidez_mediana,empresa,origem,motivo_saida,sucessor,meses_no_universo,serie_encerrada
TEND3,TEND,3875,2011-01-03,2026-08-05,10652582.792146683,TENDA,indice_vigente,,,70,False
AUAU3,AUAU,147,2026-01-05,2026-08-05,10289434.652924538,PETZCOBASI,indice_vigente,,,0,False
ITUB3,ITUB,3875,2011-01-03,2026-08-05,8645371.439037323,ITAUUNIBANCO,indice_vigente,,,0,False
DIRR3,DIRR,3875,2011-01-03,2026-08-05,8404555.277967215,DIRECIONAL,indice_vigente,,,90,False
CAML3,CAML,2203,2017-09-28,2026-08-05,8296862.77346611,CAMIL,indice_vigente,,,5,False
TUPY3,TUPY,3875,2011-01-03,2026-08-05,7863235.864067078,TUPY,indice_vigente,,,38,False
EVEN3,EVEN,3875,2011-01-03,2026-08-05,7637268.218231201,EVEN,indice_vigente,,,74,False
PLPL3,PLPL,1463,2020-09-18,2026-08-05,7400160.021781921,PLANOEPLANO,indice_vigente,,,2,False
LOGG3,LOGG,1894,2018-12-21,2026-08-05,7380380.024909973,LOG COM PROP,indice_vigente,,,0,False
SEER3,SEER,3174,2013-10-29,2026-08-05,7168072.07572937,SER EDUCA,indice_vigente,,,64,False
MILS3,MILS,3875,2011-01-03,2026-08-05,7137659.942150116,MILLS,indice_vigente,,,62,False
VLID3,VLID,3875,2011-01-03,2026-08-05,7123000.259399414,VALID,indice_vigente,,,92,False
ABCB4,ABCB,3875,2011-01-03,2026-08-05,6831440.466879845,ABC BRASIL,indice_vigente,,,41,False
GRND3,GRND,3875,2011-01-03,2026-08-05,6749939.882040024,GRENDENE,indice_vigente,,,63,False
OIBR3,OIBR,3875,2011-01-03,2026-08-05,6722718.2109375,Oi ON,candidato_historico,recuperação judicial,,60,False
BMOB3,BMOB,1367,2021-02-11,2026-08-05,6252534.117412567,BEMOBI TECH,indice_vigente,,,0,False
RIAA3,RIAA,3875,2011-01-03,2026-08-05,6249600.0,RIACHUELO,indice_vigente,,,21,False
LEVE3,LEVE,3875,2011-01-03,2026-08-05,5950299.927711487,METAL LEVE,indice_vigente,,,51,False
ARML3,ARML,1253,2021-07-29,2026-08-05,5849555.08890152,ARMAC,indice_vigente,,,0,False
LAVV3,LAVV,1473,2020-09-03,2026-08-05,5550887.816047668,LAVVI,indice_vigente,,,0,False
BLAU3,BLAU,1323,2021-04-19,2026-08-05,5225879.953422546,BLAU,indice_vigente,,,0,False
WIZC3,WIZC,2781,2015-06-05,2026-08-05,5006399.772644043,WIZ CO,indice_vigente,,,32,False
OIBR4,OIBR,3875,2011-01-03,2026-08-05,4934358.0,Oi PN,candidato_historico,recuperação judicial,,74,False
AERI3,AERI,1426,2020-11-12,2026-08-05,4931335.972290039,AERIS,indice_vigente,,,3,False
MLAS3,MLAS,1258,2021-07-22,2026-08-05,4929635.977554321,MULTILASER,indice_vigente,,,0,False
PGMN3,PGMN,1473,2020-09-03,2026-08-05,4614929.160603523,PAGUE MENOS,indice_vigente,,,0,False
ALOS3,ALOS,3853,2011-02-03,2026-08-05,4589940.154266357,ALLOS,indice_vigente,,,79,False
JHSF3,JHSF,3875,2011-01-03,2026-08-05,4336300.039291382,JHSF PART,indice_vigente,,,21,False
SOJA3,SOJA,1315,2021-04-30,2026-08-05,4290952.48401165,BOA SAFRA,indice_vigente,,,0,False
JALL3,JALL,1370,2021-02-08,2026-08-05,4239264.452683926,JALLESMACHAD,indice_vigente,,,0,False
MDNE3,MDNE,1612,2020-02-13,2026-08-05,4101447.5421905518,MOURA DUBEUX,indice_vigente,,,0,False
TGMA3,TGMA,3875,2011-01-03,2026-08-05,4095883.9012145996,TEGMA,indice_vigente,,,21,False
UNIP6,UNIP,3875,2011-01-03,2026-08-05,3732486.1003875732,UNIPAR,indice_vigente,,,7,False
AMAR3,AMAR,3875,2011-01-03,2026-08-05,3675139.349281311,Marisa Lojas,candidato_historico,reestruturação,,54,False
PRML3,PRML,1730,2011-01-03,2018-03-09,3492374.6127266884,Prumo Logística,candidato_historico,fechamento de capital (2018),,40,True
CPLE3,CPLE,3875,2011-01-03,2026-08-05,3455984.9588871,COPEL,indice_vigente,,,35,False
JSLG3,JSLG,1469,2020-09-10,2026-08-05,3376570.054578781,JSL,indice_vigente,,,0,False
MTRE3,MTRE,1614,2020-02-11,2026-08-05,3246850.063276291,MITRE REALTY,indice_vigente,,,0,False
VTRU3,VTRU,539,2024-06-11,2026-08-05,3106690.0713920593,VITRUEDUCA,indice_vigente,,,0,False
VVEO3,VVEO,1246,2021-08-09,2026-08-05,3074679.8473949432,VIVEO,indice_vigente,,,0,False
CMIG3,CMIG,3875,2011-01-03,2026-08-05,3074469.8595428467,CEMIG,indice_vigente,,,0,False
OPCT3,OPCT,1366,2021-02-12,2026-08-05,3038707.0984601974,OCEANPACT,indice_vigente,,,0,False
BRBI11,BRBI,1264,2021-07-14,2026-08-05,2995050.499153137,BR PARTNERS,indice_vigente,,,0,False
FESA4,FESA,3875,2011-01-03,2026-08-05,2925920.839691162,FERBASA,indice_vigente,,,2,False
DESK3,DESK,1258,2021-07-22,2026-08-05,2864803.1693115234,DESKTOP,indice_vigente,,,0,False
BMGB4,BMGB,1662,2019-11-29,2026-08-05,2855622.1855926514,BANCO BMG,indice_vigente,,,0,False
MATD3,MATD,1306,2021-05-13,2026-08-05,2789997.4694252014,MATER DEI,indice_vigente,,,0,False
VULC3,VULC,3875,2011-01-03,2026-08-05,2756745.1256103516,VULCABRAS,indice_vigente,,,1,False
MEAL3,MEAL,3828,2011-03-14,2026-08-05,2743425.0034570694,IMC S/A,indice_vigente,,,35,False
TCSA3,TCSA,3875,2011-01-03,2026-08-05,2535993.4708862305,TECNISA,indice_vigente,,,63,False
HBOR3,HBOR,3875,2011-01-03,2026-08-05,2355629.9228668213,HELBOR,indice_vigente,,,11,False
ESPA3,ESPA,1372,2021-02-04,2026-08-05,2280245.0345516205,ESPACOLASER,indice_vigente,,,0,False
PRNR3,PRNR,1610,2020-02-17,2026-08-05,2278912.4519348145,PRINER,indice_vigente,,,0,False
TFCO4,TFCO,1438,2020-10-26,2026-08-05,2260286.99426651,TRACK FIELD,indice_vigente,,,0,False
USIM3,USIM,3875,2011-01-03,2026-08-05,2223359.941101074,USIMINAS,indice_vigente,,,0,False
CSED3,CSED,1367,2021-02-11,2026-08-05,2068220.0580120087,CRUZEIRO EDU,indice_vigente,,,0,False
POSI3,POSI,3875,2011-01-03,2026-08-05,1851296.9349384308,POSITIVO TEC,indice_vigente,,,19,False
VIVT3,VIVT,3875,2011-01-03,2026-08-05,1838215.0657653809,TELEF BRASIL,indice_vigente,,,67,False
KEPL3,KEPL,3875,2011-01-03,2026-08-05,1611883.752822876,KEPLER WEBER,indice_vigente,,,0,False
DASA3,DASA,3875,2011-01-03,2026-08-05,1528048.0254173279,DASA,indice_vigente,,,36,False
FIQE3,FIQE,1253,2021-07-29,2026-08-05,1432249.885723114,UNIFIQUE,indice_vigente,,,0,False
VITT3,VITT,1228,2021-09-02,2026-08-05,1408386.9316425323,VITTIA,indice_vigente,,,0,False
ENJU3,ENJU,1429,2020-11-09,2026-08-05,1382458.9624285698,ENJOEI,indice_vigente,,,0,False
MELK3,MELK,1456,2020-09-29,2026-08-05,1380856.5105319023,MELNICK,indice_vigente,,,0,False
PTBL3,PTBL,3875,2011-01-03,2026-08-05,1254880.009651184,PORTOBELLO,indice_vigente,,,5,False
LPSB3,LPSB,3875,2011-01-03,2026-08-05,1178079.9968948364,LOPES BRASIL,indice_vigente,,,29,False
GGBR3,GGBR,3875,2011-01-03,2026-08-05,1089165.0239524841,GERDAU,indice_vigente,,,0,False
TASA4,TASA,3875,2011-01-03,2026-08-05,1075905.156337738,TAURUS ARMAS,indice_vigente,,,11,False
HBRE3,HBRE,1379,2021-01-26,2026-08-05,1050161.9668006897,HBR REALTY,indice_vigente,,,0,False
TRIS3,TRIS,3875,2011-01-03,2026-08-05,1040298.822177887,TRISUL,indice_vigente,,,0,False
ROMI3,ROMI,3875,2011-01-03,2026-08-05,1003922.0417022705,ROMI,indice_vigente,,,2,False
AGRO3,AGRO,3875,2011-01-03,2026-08-05,992544.019317627,BRASILAGRO,indice_vigente,,,0,False
PMAM3,PMAM,3875,2011-01-03,2026-08-05,992139.2269973755,Paranapanema,candidato_historico,recuperação judicial,,11,False
PFRM3,PFRM,3875,2011-01-03,2026-08-05,969306.0167312622,PROFARMA,indice_vigente,,,11,False
LOGN3,LOGN,3875,2011-01-03,2026-08-05,957037.0222449303,LOG-IN,indice_vigente,,,2,False
OGXP3,OGXP,1931,2011-01-03,2019-01-10,885283.0,OGX Petróleo,candidato_historico,recuperação judicial,OGXP3,37,True
RSID3,RSID,3875,2011-01-03,2026-08-05,815540.0257110596,Rossi Residencial,candidato_historico,reestruturação,,51,False
ITSA3,ITSA,3875,2011-01-03,2026-08-05,775375.9895324707,ITAUSA,indice_vigente,,,0,False
ETER3,ETER,3875,2011-01-03,2026-08-05,746691.0177707672,ETERNIT,indice_vigente,,,11,False
ECOM3,ECOM,1254,2021-07-28,2026-08-05,741769.1609489918,ECONOMATICA,indice_vigente,,,0,False
BHIA3,BHIA,3875,2011-01-03,2026-08-05,725137.24609375,CASAS BAHIA,indice_vigente,,,66,False
ALLD3,ALLD,1328,2021-04-12,2026-08-05,692147.4918365479,ALLIED,indice_vigente,,,0,False
COCE5,COCE,3875,2011-01-03,2026-08-05,691200.0,Coelce,candidato_historico,baixa liquidez,,11,False
CSUD3,CSUD,3875,2011-01-03,2026-08-05,687474.003982544,CSU DIGITAL,indice_vigente,,,0,False
AMOB3,AMOB,407,2024-12-16,2026-08-05,675552.0051956177,AUTOMOB,indice_vigente,,,0,False
CGAS5,CGAS,3875,2011-01-03,2026-08-05,660825.008392334,Comgás,candidato_historico,saiu do índice,,8,False
BRST3,BRST,388,2025-01-16,2026-08-05,646730.0043344498,BRISANET,indice_vigente,,,0,False
TECN3,TECN,3752,2011-07-01,2026-08-05,589258.496928215,TECHNOS,indice_vigente,,,2,False
LAND3,LAND,1245,2021-08-10,2026-08-05,572320.0149536133,TERRASANTAPA,indice_vigente,,,0,False
BRAP3,BRAP,3875,2011-01-03,2026-08-05,535336.9863696098,BRADESPAR,indice_vigente,,,0,False
TPIS3,TPIS,3875,2011-01-03,2026-08-05,525035.7377071381,TRIUNFO PART,indice_vigente,,,2,False
PNVL3,PNVL,3875,2011-01-03,2026-08-05,510399.9853134155,DIMED,indice_vigente,,,0,False
GOAU3,GOAU,3875,2011-01-03,2026-08-05,381329.4537334442,GERDAU MET,indice_vigente,,,0,False
DMVF3,DMVF,1491,2020-08-10,2026-08-05,376678.0037879944,D1000VFARMA,indice_vigente,,,0,False
VSTE3,VSTE,3875,2011-01-03,2026-08-05,366317.4299621582,VESTE,indice_vigente,,,22,False
SYNE3,SYNE,3875,2011-01-03,2026-08-05,363200.0,SYN PROP TEC,indice_vigente,,,0,False
FRAS3,FRAS,3875,2011-01-03,2026-08-05,359565.7882003784,FRAS-LE,indice_vigente,,,0,False
ALPK3,ALPK,1547,2020-05-21,2026-08-05,348750.0071525574,ESTAPAR,indice_vigente,,,0,False
POMO3,POMO,3875,2011-01-03,2026-08-05,345464.9121437073,MARCOPOLO,indice_vigente,,,0,False
PINE4,PINE,3875,2011-01-03,2026-08-05,344250.0162124634,PINE,indice_vigente,,,0,False
FHER3,FHER,3875,2011-01-03,2026-08-05,332970.0050354004,FER HERINGER,indice_vigente,,,7,False
LUPA3,LUPA,3875,2011-01-03,2026-08-05,317419.7977781296,Lupatech,candidato_historico,recuperação judicial,,5,False
EUCA4,EUCA,3875,2011-01-03,2026-08-05,305448.00872802734,EUCATEX,indice_vigente,,,0,False
VIVR3,VIVR,3875,2011-01-03,2026-08-05,289178.2162628174,Viver Incorporadora,candidato_historico,recuperação judicial,,7,False
DEXP3,DEXP,3875,2011-01-03,2026-08-05,285491.67106080055,DEXXOS PAR,indice_vigente,,,2,False
