codigo,empresa,indices,origem,motivo_saida,sucessor,n_obs,inicio,fim,disponivel
MOTV3,MOTIVA SA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
MOVI3,MOVIDA,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,2294,2017-05-24,2026-08-05,True
MRVE3,MRV,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
MTRE3,MITRE REALTY,IGCX,indice_vigente,,,1614,2020-02-11,2026-08-05,True
MULT3,MULTIPLAN,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
MYPK3,IOCHP-MAXION,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
NATU3,NATURA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,2472,2011-01-03,2026-08-05,True
OFSA3,OUROFINO S/A,IGCX,indice_vigente,,,2933,2014-10-21,2026-08-05,True
OGXP3,OGX Petróleo,,candidato_historico,recuperação judicial,OGXP3,1989,2011-01-03,2019-01-10,True
OIBR3,Oi ON,,candidato_historico,recuperação judicial,,3875,2011-01-03,2026-08-05,True
OIBR4,Oi PN,,candidato_historico,recuperação judicial,,3875,2011-01-03,2026-08-05,True
OPCT3,OCEANPACT,IGCX,indice_vigente,,,1366,2021-02-12,2026-08-05,True
ORVR3,ORIZON,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1365,2021-02-17,2026-08-05,True
PDGR3,PDG REALT,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
PDTC3,PADTEC,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
PETR3,PETROBRAS,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
PETR4,PETROBRAS,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
PFRM3,PROFARMA,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
PGMN3,PAGUE MENOS,IBRA|IGCX|SMLL,indice_vigente,,,1473,2020-09-03,2026-08-05,True
PINE3,PINE,IGCX,indice_vigente,,,3359,2013-02-04,2026-08-05,True
PINE4,PINE,IBRA|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
PLPL3,PLANOEPLANO,IBRA|IGCX|SMLL,indice_vigente,,,1463,2020-09-18,2026-08-05,True
PMAM3,Paranapanema,,candidato_historico,recuperação judicial,,3875,2011-01-03,2026-08-05,True
PNVL3,DIMED,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
POMO3,MARCOPOLO,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
POMO4,MARCOPOLO,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
POSI3,POSITIVO TEC,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
PRIO3,PRIO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
PRML3,Prumo Logística,,candidato_historico,fechamento de capital (2018),,1772,2011-01-03,2018-03-09,True
PRNR3,PRINER,IBRA|IGCX|SMLL,indice_vigente,,,1610,2020-02-17,2026-08-05,True
PSSA3,PORTO SEGURO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
PTBL3,PORTOBELLO,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
QUAL3,QUALICORP,IBRA|IGCX|SMLL,indice_vigente,,,3754,2011-06-29,2026-08-05,True
RADL3,RAIADROGASIL,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
RAIL3,RUMO S.A.,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,2823,2015-04-02,2026-08-05,True
RANI3,IRANI,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
RAPT3,RANDON PART,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
RAPT4,RANDON PART,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
RCSL4,RECRUSUL,IBRA|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
RDOR3,REDE D OR,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,1404,2020-12-15,2026-08-05,True
RECV3,PETRORECSA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1312,2021-05-05,2026-08-05,True
RENT3,LOCALIZA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
RIAA3,RIACHUELO,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
RNEW3,RENOVA,IGCX,indice_vigente,,,3216,2013-08-30,2026-08-05,True
RNEW4,RENOVA,IGCX,indice_vigente,,,2332,2017-03-28,2026-08-05,True
ROMI3,ROMI,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
RSID3,Rossi Residencial,,candidato_historico,reestruturação,,3875,2011-01-03,2026-08-05,True
SANB11,SANTANDER BR,IBOV|IBRA|IBXX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
SAPR11,SANEPAR,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,2140,2017-12-26,2026-08-05,True
SAUD3,BRADSAUDE,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
SBFG3,GRUPO SBF,IBRA|IGCX|SMLL,indice_vigente,,,1818,2019-04-17,2026-08-05,True
SBSP3,SABESP,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
SCAR3,SAO CARLOS,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
SEER3,SER EDUCA,IBRA|IGCX|SMLL,indice_vigente,,,3174,2013-10-29,2026-08-05,True
SIMH3,SIMPAR,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1463,2020-09-18,2026-08-05,True
SLCE3,SLC AGRICOLA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
SMFT3,SMART FIT,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1264,2021-07-14,2026-08-05,True
SMTO3,SAO MARTINHO,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
SOJA3,BOA SAFRA,IBRA|IGCX|SMLL,indice_vigente,,,1315,2021-04-30,2026-08-05,True
SUZB3,SUZANO S.A.,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
SYNE3,SYN PROP TEC,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TAEE11,TAESA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TASA3,TAURUS ARMAS,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TASA4,TAURUS ARMAS,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TCSA3,TECNISA,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TECN3,TECHNOS,IGCX,indice_vigente,,,3752,2011-07-01,2026-08-05,True
TEND3,TENDA,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TFCO4,TRACK FIELD,IBRA|IGCX|SMLL,indice_vigente,,,1438,2020-10-26,2026-08-05,True
TGMA3,TEGMA,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TIMS3,TIM,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TOTS3,TOTVS,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TPIS3,TRIUNFO PART,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TRIS3,TRISUL,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
TTEN3,3TENTOS,IBRA|IGCX|SMLL,indice_vigente,,,1261,2021-07-16,2026-08-05,True
TUPY3,TUPY,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
UCAS3,UNICASA,IGCX,indice_vigente,,,3547,2012-04-27,2026-08-05,True
UGPA3,ULTRAPAR,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
UNIP6,UNIPAR,IBRA|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
USIM3,USIMINAS,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
USIM5,USIMINAS,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
